method,level,freq,mean_nRMSE,median_nRMSE,sd_nRMSE,min_nRMSE,max_nRMSE,mean_nMBE,median_nMBE,sd_nMBE,mean_skill,median_skill,mean_SMAPE,median_SMAPE,n_series
ctwlsv_rf,L1,Daily,18.0274752920743,18.5073340842634,4.24082810788223,12.0741715821704,23.6578969417311,-2.56068014537958,-2.60625166397496,0.524460076615713,26.618120242917,26.6017599778751,7.58847795395137,7.35468178458992,5
ctwlsv_rf,L1,Hourly,32.5113869515428,33.1401975263728,7.43294703472436,22.128321936312,42.7824180485327,-2.56068014537958,-2.60625166397496,0.524460076615705,24.6580568244381,24.6113919354675,55.5427601094033,56.0285424840823,5
ctwlsv_rf,L2,Daily,23.5192239817997,24.1308813755388,4.89573623467746,12.9840216691217,38.7104622883544,-2.68714552673783,-2.72404318791342,0.635163326429342,23.3097883173568,23.5679052201221,10.3429419270278,10.3434540597415,318
ctwlsv_rf,L2,Hourly,46.6419996880637,47.9672946029063,8.73890989935556,27.2608516214902,72.2124723044082,-2.68714552673782,-2.72404318791343,0.635163326429341,22.0472756097759,22.181943011317,51.7652788036955,51.7787038089309,318
ctwlsv_rf_nwp,L0,Daily,14.1551584729643,14.1551584729643,,14.1551584729643,14.1551584729643,-1.70087888616919,-1.70087888616919,,30.0327436883022,30.0327436883022,5.62207113932441,5.62207113932441,1
ctwlsv_rf_nwp,L0,Hourly,25.2535460722252,25.2535460722252,,25.2535460722252,25.2535460722252,-1.70087888616919,-1.70087888616919,,27.0456683434217,27.0456683434217,54.6741654901855,54.6741654901855,1
ctwlsv_rf_nwp,L1,Daily,17.758185946593,18.2314294085778,4.18928154389679,11.8430259425139,23.2753750583777,-1.64750119897268,-1.70680567164266,0.325292166764173,27.7358859213974,27.6161500919205,7.41075985749978,7.17081118285133,5
ctwlsv_rf_nwp,L1,Hourly,32.1811116773509,32.7834120530951,7.41172772843124,21.7685471015238,42.3907238215024,-1.64750119897267,-1.70680567164266,0.325292166764172,25.4544288407899,25.108830346903,55.990186747137,56.4730418239624,5
ctwlsv_rf_nwp,L2,Daily,23.1349134676331,23.8326699865334,4.84300290476405,12.7475411818005,37.8176934001484,-1.71680487015454,-1.74461344220035,0.477420778432382,24.6008331400841,24.6546367492245,10.0950754223745,10.117274055629,318
ctwlsv_rf_nwp,L2,Hourly,46.8395662056057,47.9152369739921,8.84809731772833,27.6277691148025,72.4730362674909,-1.71680487015454,-1.74461344220034,0.477420778432381,21.7500209889475,21.978252494757,51.0451845237613,51.0864434848293,318
ctwlsv_sarimax,L0,Daily,11.2818038403456,11.2818038403456,,11.2818038403456,11.2818038403456,-3.33204156069459,-3.33204156069459,,44.235392174281,44.235392174281,4.84926755795816,4.84926755795816,1
ctwlsv_sarimax,L0,Hourly,30.0366741338008,30.0366741338008,,30.0366741338008,30.0366741338008,-3.33204156069459,-3.33204156069459,,13.227810448848,13.227810448848,57.4960953163292,57.4960953163292,1
ctwlsv_sarimax,L1,Daily,15.3257649406699,15.4691935194106,4.06705167352562,10.0525860812857,21.3638264705586,-3.09717209191339,-2.81993538499585,1.4430813308132,37.7882164264839,37.6397301051113,6.68795499295915,6.40083660641237,5
ctwlsv_sarimax,L1,Hourly,35.8655095923554,34.4212480320057,10.6382274636124,23.0048626631224,52.5660789343255,-3.09717209191339,-2.81993538499585,1.44308133081318,17.5307838198455,19.9051650217219,58.302475303588,58.370777332214,5
ctwlsv_sarimax,L2,Daily,22.4440830623637,22.9114082220519,5.36759725016421,12.4966525881441,39.0978067013649,-3.41261549076577,-3.29137510024951,1.58703714911141,27.0835385956942,27.3837181905405,10.0716468268267,10.0051531949306,318
ctwlsv_sarimax,L2,Hourly,52.6781562352948,51.9125499245781,11.9842446954058,28.6811086635253,81.7513217384709,-3.41261549076577,-3.29137510024951,1.58703714911141,12.2941256346973,13.8479284349598,56.8965223910263,57.3794218132131,318
ctwlsv_sarimax_nwp,L0,Daily,10.640524863902,10.640524863902,,10.640524863902,10.640524863902,-1.43627126260835,-1.43627126260835,,47.4051575003158,47.4051575003158,4.45915954493172,4.45915954493172,1
ctwlsv_sarimax_nwp,L0,Hourly,23.8170569667735,23.8170569667735,,23.8170569667735,23.8170569667735,-1.43627126260835,-1.43627126260835,,31.1955054522562,31.1955054522562,56.2543219600197,56.2543219600197,1
ctwlsv_sarimax_nwp,L1,Daily,14.8840128631944,15.0440642502404,3.87275746547077,9.87387606019659,20.6739950366502,-1.39746633038529,-1.16731930511701,0.796880493527754,39.4969190792006,38.748340870334,6.35716732456068,6.03639319401899,5
ctwlsv_sarimax_nwp,L1,Hourly,31.3287352259405,30.837083078031,8.04005892387912,21.2169144568636,43.7110083338921,-1.39746633038528,-1.16731930511701,0.796880493527749,27.5129508374635,26.3201516220904,57.2523283342111,57.3703470710461,5
ctwlsv_sarimax_nwp,L2,Daily,22.0395251791594,22.5876047344225,5.32147128294232,12.3472477228213,39.219485658111,-1.47089071658049,-1.4718672026011,1.04712792234274,28.4228265361719,28.3848562845815,9.73649972108521,9.71666913623267,318
ctwlsv_sarimax_nwp,L2,Hourly,49.2918160685915,49.4826705680658,10.5684840752415,28.2522195178981,78.4769757033561,-1.47089071658048,-1.47186720260109,1.04712792234274,17.8628270113228,19.2226363556186,54.1917495820565,54.7627698094945,318
ets_author_base,L0,Daily,18.1686802306604,18.1686802306604,,18.1686802306604,18.1686802306604,-0.945042516814777,-0.945042516814777,,10.1943853915976,10.1943853915976,7.05968544313713,7.05968544313713,1
ets_author_base,L0,Hourly,27.8458816490692,27.8458816490692,,27.8458816490692,27.8458816490692,0.394365843700339,0.394365843700339,,19.5567355457332,19.5567355457332,55.1643603067722,55.1643603067722,1
ets_author_base,L1,Daily,20.93571708655,21.9543538758886,5.07390035822142,13.5528749249158,26.8898955821893,-0.984544108096832,-0.889516009560375,0.315275085789056,15.0497083302493,15.9260183065925,8.69650630330058,8.66021515505547,5
ets_author_base,L1,Hourly,34.2419678901429,35.1389896161861,8.15435935565368,22.4101250936763,44.9429921965368,0.130925339540945,0.118600480100424,0.190974102729818,20.8810492156295,21.9758319140972,57.0410565004389,57.2250410861447,5
ets_author_base,L2,Daily,25.8182441227199,26.9091693789806,5.43335993704541,13.1551585667705,42.0715373235849,-0.940582985855474,-0.925718061475958,0.520271312609793,16.0670212566976,16.6410021898346,11.2227953117553,11.253660253479,318
ets_author_base,L2,Hourly,53.4580558190711,53.2671803299777,13.301342936984,29.4609427402771,98.0860972912096,4.36163316242777,3.30836382403669,4.69860088846943,11.3417156173743,13.2296100347128,21.4261919309218,21.6015978581729,318
ets_base,L0,Daily,18.1686802306604,18.1686802306604,,18.1686802306604,18.1686802306604,-0.945042516814777,-0.945042516814777,,10.1943853915976,10.1943853915976,7.05968544313713,7.05968544313713,1
ets_base,L0,Hourly,27.8200326498612,27.8200326498612,,27.8200326498612,27.8200326498612,0.63174663228412,0.63174663228412,,19.6314100669199,19.6314100669199,41.8797263235934,41.8797263235934,1
ets_base,L1,Daily,20.8204055371794,21.9543538758886,4.98900175787764,13.5528749249158,26.806498339826,-0.958166571702585,-0.865748267025939,0.306005381141812,15.4629062687673,16.4058028289836,8.69650630330058,8.66021515505547,5
ets_base,L1,Hourly,34.2231666440601,35.1252759018925,8.15655523965278,22.386988684334,44.9288265702915,0.496651325071034,0.467445142538394,0.11680181671752,20.9276198918866,22.0563847483128,42.2348220897576,41.8262013998403,5
ets_base,L2,Daily,25.782230256706,26.849882933664,5.41187080388592,13.1551585667705,42.0715373235849,-0.926515403576947,-0.919110096327688,0.510210933984368,16.1763632594168,16.6956563640584,11.2227953117553,11.253660253479,318
ets_base,L2,Hourly,53.4580558190711,53.2671803299777,13.301342936984,29.4609427402771,98.0860972912096,4.36163316242777,3.30836382403669,4.69860088846943,11.3417156173743,13.2296100347128,21.4261919309218,21.6015978581729,318
lgbm_base,L0,Daily,16.9516154623806,16.9516154623806,,16.9516154623806,16.9516154623806,-3.63049453101306,-3.63049453101306,,16.2101910608034,16.2101910608034,7.18041952917781,7.18041952917781,1
